param N := 11 ;
param T := 3 ;
param link_num := 52 ;

param : E : c :=
1	2	343
1	5	264
1	6	294
1	7	877
1	9	488
1	11	640
2	1	343
2	3	358
2	5	321
2	8	956
3	2	358
3	5	173
3	6	296
3	7	576
3	8	621
4	6	595
4	7	281
4	8	635
4	9	526
4	10	251
5	1	264
5	2	321
5	3	173
5	6	171
5	11	697
6	1	294
6	3	296
6	4	595
6	5	171
6	9	324
7	1	877
7	3	576
7	4	281
7	8	356
7	10	523
8	2	956
8	3	621
8	4	635
8	7	356
9	1	488
9	4	526
9	6	324
9	10	592
9	11	218
10	4	251
10	7	523
10	9	592
10	11	625
11	1	640
11	5	697
11	9	218
11	10	625
;

param	:	d	:=		
1	1				
2	0				
3	0				
4	0				
5	0				
6	0				
7	0				
8	0				
9	0				
10	0				
11	1								
;

end ;
